id,type,subpanel,budget,duration,coinvestigators
2011/01/B/HS1/00522,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:",Przyznana kwota: 37 560 PLN,Czas trwania projektu: 30 miesięcy,Liczba wykonawców projektu: 1
2011/03/B/HS3/00769,Konkurs: OPUS 2  - ogłoszony 2011-09-15,"HS3   - Wiedza o przeszłości: historia, archeologia, etnologia, antropologia kulturowa, m.in.:",Przyznana kwota: 23 400 PLN,Czas trwania projektu: 10 miesięcy,Liczba wykonawców projektu: 1
2011/01/B/HS1/00559,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:",Przyznana kwota: 39 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 1
2011/01/B/NZ7/04370,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ7   - Zdrowie publiczne: epidemiologia, choroby cywilizacyjne i społeczne zagrożenia środowiskowe dla zdrowia ludzi i zwierząt, medyczna i weterynaryjna ochrona zdrowia publicznego, etyka, medycyna pracy, farmakoekonomika, m.in.:",Przyznana kwota: 94 900 PLN,Czas trwania projektu: 18 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/HS1/00771,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:",Przyznana kwota: 58 908 PLN,Czas trwania projektu: 30 miesięcy,Liczba wykonawców projektu: 1
2011/01/B/HS2/01335,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:",Przyznana kwota: 97 500 PLN,Czas trwania projektu: 18 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/HS1/00944,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:",Przyznana kwota: 69 850 PLN,Czas trwania projektu: 24 miesięcy,Liczba wykonawców projektu: 3
2011/01/B/ST10/04440,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST10   - Nauki o Ziemi: geografia fizyczna, geologia, geofizyka, meteorologia, oceanologia, klimatologia, ekologia, globalne zmiany środowiska, cykle biogeochemiczne, zarządzanie zasobami naturalnymi, m.in.:",Przyznana kwota: 275 700 PLN,Czas trwania projektu: 12 miesięcy,Liczba wykonawców projektu: 2
2011/01/B/HS1/00954,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:",Przyznana kwota: 59 800 PLN,Czas trwania projektu: 12 miesięcy,Liczba wykonawców projektu: 16
2011/01/B/ST8/04926,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST8   - Inżynieria procesów i produkcji: projektowanie wyrobów, projektowanie i sterowanie procesami produkcji, konstrukcje i procesy budowlane, inżynieria materiałowa, systemy energetyczne, m.in.:",Przyznana kwota: 173 100 PLN,Czas trwania projektu: 12 miesięcy,Liczba wykonawców projektu: 4
2011/01/B/HS1/00996,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:",Przyznana kwota: 58 750 PLN,Czas trwania projektu: 24 miesięcy,Liczba wykonawców projektu: 1
