opus_no,subpanel,coordinator_title,institution,name_short
1,HS2,bsd,"Uniwersytet Jagielloński, Wydział Polonistyki","Przypomnienie, powtórzenie, tworzenie. Problematyka tradycji i pamięci kulturowej wobec sposobów konstruowania poetyk pa..."
9,NZ1,bsd,"Uniwersytet Jagielloński, Małopolskie Centrum Biotechnologii Uniwersytetu Jagiellońskiego","Wgląd w biochemię, strukturę, ewolucję i biologię bakteryjnych serpin na przykładzie miropiny z ludzkiego patogenu Tanne..."
5,HS3,bsd,"Uniwersytet Warszawski, Wydział Historyczny","Rozwój kultu ognia we wczesnej epoce żelaza, na podstawie badań na stanowisku Topaz Gala depe w południowym Turkmenistan..."
7,HS4,bsd,Instytut Nauk Ekonomicznych PAN,Relatywna deprywacja a decyzje ekonomiczne
14,NZ8,bsd,Instytut Oceanologii Polskiej Akademii Nauk,Plastyczność ekologiczna kluczowych gatunków zooplanktonu w Arktyce (ecoPlast)
14,ST3,bsd,Instytut Wysokich Ciśnień Polskiej Akademii Nauk,Dynamika sieci i stabilność termodynamiczna powierzchni półprzewodników azotkowych wyliczane w oparciu o metody ab initi...
16,NZ5,bsd,"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu, Wydział Lekarski, Wydział Lekarski",Znaczenie mikroflory oraz przepuszczalności bariery jelita grubego w patofizjologii schizofrenii - w poszukiwaniu uwarun...
16,NZ8,bsd,"Wydział Biologii, Wydział Biologii",Kształtowanie ekosystemów kriokonitowych przez zwierzęta - efekty bioturbacji i wyboru pokarmu
16,ST3,bsd,"Uniwersytet Warszawski, Wydział Fizyki, Wydział Fizyki",Kompleksy ekscytonowe w dwuwymiarowych strukturach van der Waalsa
11,NZ8,bsd,"Uniwersytet Mikołaja Kopernika, Wydział Biologii i Ochrony Środowiska","Ekologia strachu gatunków inwazyjnych. Czy pontokaspijksie kiełże (Crustacea, Amhipoda) są mniej podatne na stres induko..."
14,NZ8,bsd,"Wydział Biologii, Wydział Biologii",Rola uczenia asocjacyjnego w powstawaniu preferencji płciowych u gupika.
16,ST1,bsd,"Uniwersytet Wrocławski, Wydział Matematyki i Informatyki, Wydział Matematyki i Informatyki",Ciągłe i dyskretne perspektywy w analizie harmonicznej
1,HS3,bsd,Muzeum im. Wojciecha Kętrzyńskiego,"Krajobraz wczesnośredniowiecznego osadnictwa Prus. Ekologia kompleksu osadniczego w Poganowie, stan. IV."
1,HS3,bsd,POLSKA AKADEMIA UMIEJĘTNOŚCI,"Materiały do Kodeksu dyplomatycznego Małopolski, t.V: dokumenty z lat 1451-1506"
2,HS3,bsd,"Uniwersytet Warszawski, Ośrodek Badań nad Antykiem Europy Południowo-Wschodniej",Antyczne źródła pisane do najdawniejszych dziejów ziem Polski
