edycja,panel,zlozone,1_etap,2_etap,finansowanych
3,HS1,34,32,19,8
3,HS2,106,101,59,40
3,HS3,71,70,34,16
3,HS4,167,160,72,42
3,HS5,67,60,34,16
3,HS6,63,60,26,14
3,ST1,43,43,24,13
3,ST2,24,24,13,7
3,ST3,41,39,27,17
3,ST4,65,62,36,17
3,ST5,133,119,70,34
3,ST6,43,41,24,11
3,ST7,69,68,34,16
3,ST8,175,169,83,38
3,ST9,14,14,9,4
3,ST10,104,102,58,33
3,NZ1,53,49,32,16
3,NZ2,37,35,18,12
3,NZ3,50,46,23,16
3,NZ4,70,64,35,20
3,NZ5,76,73,35,19
3,NZ6,42,41,21,10
3,NZ7,111,102,46,21
3,NZ8,73,70,35,20
3,NZ9,120,117,48,22
4,NZ1,65,60,29,13
4,NZ2,28,26,11,6
4,NZ3,53,52,25,14
4,NZ4,63,56,29,16
4,NZ5,77,65,23,14
4,NZ6,38,33,18,8
4,NZ7,140,118,44,21
4,NZ8,65,64,38,16
4,NZ9,115,100,48,23
4,ST1,48,48,31,16
4,ST2,20,20,14,7
4,ST3,28,26,13,8
4,ST4,60,59,36,17
4,ST5,159,159,94,48
4,ST6,61,58,32,16
4,ST7,64,61,24,13
4,ST8,196,188,68,38
4,ST9,29,29,18,9
4,ST10,87,85,41,23
4,HS1,46,44,28,15
4,HS2,111,108,56,24
4,HS3,92,88,49,20
4,HS4,203,189,93,46
4,HS5,83,77,41,25
4,HS6,92,90,42,17
5,NZ1,52,51,25,13
5,NZ2,35,33,13,8
5,NZ3,55,50,20,12
5,NZ4,73,69,28,14
5,NZ5,95,93,33,16
5,NZ6,53,49,25,9
5,NZ7,135,119,59,27
5,NZ8,67,65,32,19
5,NZ9,133,124,65,35
5,ST1,51,45,29,15
5,ST2,31,27,18,10
5,ST3,36,31,18,8
5,ST4,69,66,38,17
5,ST5,140,138,58,29
5,ST6,54,53,26,15
5,ST7,58,53,29,16
5,ST8,158,153,60,40
5,ST9,24,22,12,7
5,ST10,93,85,38,20
5,HS1,67,58,33,16
5,HS2,125,122,66,30
5,HS3,95,88,54,27
5,HS4,239,216,93,58
5,HS5,130,120,75,42
5,HS6,107,98,42,20
6,NZ1,55,51,18,10
6,NZ2,56,51,18,9
6,NZ3,51,44,15,7
6,NZ4,68,62,27,13
6,NZ5,82,70,18,10
6,NZ6,53,46,15,8
6,NZ7,150,140,41,21
6,NZ8,52,51,21,9
6,NZ9,157,145,44,20
6,ST1,46,46,17,9
6,ST2,32,29,15,7
6,ST3,59,55,27,15
6,ST4,73,72,27,13
6,ST5,142,126,44,21
6,ST6,48,45,15,8
6,ST7,73,67,26,13
6,ST8,188,182,47,32
6,ST9,18,14,5,2
6,ST10,103,95,30,15
6,HS1,63,57,18,12
6,HS2,151,137,50,26
6,HS3,103,103,40,17
6,HS4,308,288,104,52
6,HS5,136,123,43,22
6,HS6,105,102,32,17
7,NZ1,64,60,22,9
7,NZ2,39,36,14,8
7,NZ3,69,67,21,9
7,NZ4,81,76,25,12
7,NZ5,110,101,24,12
7,NZ6,47,39,16,9
7,NZ7,165,160,48,25
7,NZ8,81,80,28,10
7,NZ9,143,136,43,20
7,ST1,48,46,19,8
7,ST2,37,35,18,8
7,ST3,46,44,15,8
7,ST4,84,83,27,14
7,ST5,158,157,43,19
7,ST6,51,48,14,7
7,ST7,95,93,31,14
